1044	8836
1045	22
1046	17032
1047	104113
1048	13743
1049	38083
1050	3272
1051	4922
1052	115
1053	10516
1054	825
1055	51322
1056	11031
1057	1255
1058	61618
1059	16587
1060	7653
1061	36016
1062	587
1063	117
1064	63
1065	47928
1066	9068
1067	1109
1068	1229
1069	1368
1070	2235
1071	65687
1072	20303
1073	2018
1074	219
1075	19372
1076	1122
1077	624
1078	45604
1079	18988
1080	11226
1081	21289
1082	1327
1083	25963
1084	118
1085	2977
1086	11466
1087	5
1088	364
1089	76802
1090	9450
1091	51869
1092	29
1093	9734
1094	5675
1095	151
1096	6409
1097	9810
1098	250
1099	48
1100	15528
1101	866
1102	31552
1103	74079
1104	18370
1105	28174
1106	6
1107	12139
1108	6
1109	3
1110	88019
1111	50812
1112	87502
1113	5503
1114	409
1115	115314
1116	1673
1117	24073
1118	6539
1119	2918
1120	20339
1121	1061
1122	81205
1123	5724
1124	2498
1125	239
1126	1788
1127	415
1128	70308
1129	14184
1130	3816
1131	16
1132	2519
1133	477
1134	310
1135	8313
1136	64973
1137	362
1138	493
1139	4766
1140	2043
1141	27880
1142	5
1143	37235
1144	29446
1145	35811
1146	126591
1147	5535
1148	11961
1149	39347
1150	438
1151	397
1152	25726
1153	14524
1154	85190
1155	21791
1156	37795
1157	190067
1158	76969
1159	6992
1160	2151
1161	131440
1162	111463
1163	1
1164	474
1165	1288
1166	20463
1167	1020
1168	6509
1169	23
1170	16507
1171	4878
1172	17341
1173	71586
1174	102457
1175	15225
1176	5684
1177	91209
1178	34350
1179	11048
1180	41290
1181	60887
1182	7126
1183	3134
1184	811
1185	2497
1186	110879
1187	708
1188	20213
1189	45806
1190	73123
1191	1977
1192	23841
1193	71024
1194	21668
1195	18
1196	134953
1197	83
1198	678
1199	5
1200	219
1201	571
1202	777
1203	68874
1204	2703
1205	89855
1206	140
1207	561
1208	21722
1209	4744
1210	20
1211	167
1212	2292
1213	35722
1214	6665
1215	130030
1216	25143
1217	118
1218	279528
1219	29405
1220	7082
1221	276
1222	4792
1223	281
1224	266
1225	24
1226	45229
1227	16681
1228	4917
1229	132342
1230	40621
1231	12084
1232	24589
1233	2480
1234	59
1235	1735
1236	17309
1237	207
1238	12226
1239	18132
1240	21048
1241	48362
1242	20133
1243	45943
1244	30044
1245	3380
1246	7967
1247	99746
1248	34347
1249	2488
1250	5911
1251	61988
1252	6105
1253	15779
1254	8
1255	137036
1256	1280
1257	2517
1258	3546
1259	179047
1260	99
1261	1605
1262	150
1263	22735
1264	43838
1265	43799
1266	19498
1267	4453
1268	10
1269	52563
1270	36263
1271	3
1272	1229
1273	129
1274	5347
1275	5138
1276	10812
1277	3793
1278	69
1279	15321
1280	54260
1281	42332
1282	90495
1283	4565
1284	797
1285	10806
1286	21202
1287	22842
1288	42555
1289	14497
1290	3871
1291	2562
1292	451
1293	1531
1294	5427
1295	76267
1296	4621
1297	119
1298	64775
1299	28851
1300	4276
1301	829
1302	23353
1303	1532
1304	71862
1305	70903
1306	10029
1307	657
1308	55150
1309	51951
1310	52990
1311	5053
1312	214052
1313	28660
1314	12693
1315	23551
1316	41626
1317	2941
1318	224
1319	13186
1320	88641
1321	64
1322	14400
1323	45715
1324	19682
1325	25162
1326	27726
1327	2533
1328	2273
1329	628
1330	5640
1331	247
1332	13766
1333	1522
1334	16989
1335	320
1336	2718
1337	439
1338	2158
1339	249
1340	40413
1341	740
1342	3003
1343	105641
1344	18847
1345	337
1346	6360
1347	1269
1348	299
1349	16255
1350	51430
1351	2288
1352	59904
1353	227
1354	645
1355	52197
1356	70037
1357	30784
1358	111850
1359	49785
1360	65880
1361	268
1362	248
1363	6830
1364	27898
1365	2437
1366	46501
1367	74809
1368	74690
1369	50
1370	4517
1371	17339
1372	6340
1373	15187
1374	22107
1375	6051
1376	22314
1377	162
1378	17853
1379	3336
1380	849
1381	100
1382	21291
1383	1
1384	1
1385	1
1386	1
1387	51876
1388	1
1389	27382
1390	82614
1391	7
1392	14872
1393	120892
1394	1
1395	9179
1396	3
1397	6135
1398	69
1399	8070
1400	82768
1401	13692
1402	4335
1403	13208
1404	48
1405	58980
1406	1482
1407	16708
1408	8282
1409	239
1410	2325
1411	12891
1412	76195
1413	8111
1414	2
1415	57251
1416	46600
1417	2935
1418	90559
1419	54204
1420	29026
1421	56891
1422	1256
1423	19110
1424	741
1425	22203
1426	135320
1427	55669
1428	126
1429	39018
1430	16070
1431	52159
1432	10255
1433	19234
1434	1988
1435	5270
1436	6697
1437	231896
1438	53777
1439	1487
1440	647
1441	6204
1442	2907
1443	22620
1444	7500
1445	173
1446	424
1447	10043
1448	7457
1449	300
1450	947
1451	128
1452	24
1453	19396
1454	4231
1455	31136
1456	7
1457	3
1458	10
1459	15
1460	109699
1461	18818
1462	491
1463	799
1464	22484
1465	187
1466	95
1467	3623
1468	1
1469	2
1470	12216
1471	3920
1472	36088
1473	37305
1474	6885
1475	231
1476	36
1477	3165
1478	1949
1479	14115
1480	39835
1481	8
1482	1
1483	1546
1484	4297
1485	91
1486	20836
1487	435
1488	786
1489	59869
1490	26510
1491	16046
1492	23982
1493	484
1494	41
1495	4144
1496	2
1497	1522
1498	1988
1499	477
1500	8244
1501	2161
1502	686
1503	1514
1504	633
1505	54863
1506	86300
1507	15197
1508	33
1509	14399
1510	3964
1511	6807
1512	3805
1513	8498
1514	16664
1515	4216
1516	34253
1517	8773
1518	32103
1519	7508
1520	720
1521	6543
1522	178896
1523	20756
1524	2551
1525	2358
1526	6223
1527	51286
1528	3959
1529	10705
1530	82
1531	3825
1532	222
1533	98
1534	67260
1535	7068
1536	7245
1537	14078
1538	1699
1539	1606
1540	218
1541	210
1542	22199
1543	32779
1544	460
1545	295
1546	16
1547	3328
1548	2999
1549	3463
1550	24021
1551	6
1552	761
1553	150
1554	267
1555	11211
1556	23371
1557	186
1558	43658
1559	22394
1560	12283
1561	806
1562	32496
1563	6732
1564	9771
1565	6043
1566	9623
1567	10656
1568	8586
1569	498
1570	3309
1571	11577
1572	63200
1573	457
1574	25
